timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-12-07,53308.11570000,53958.33903000,52899.93804000,53027.75911500,7527.80000000,7619.62000000,7470.16000000,7488.21000000,31498.68417300,31498.68417300
2019-12-06,52325.20350000,53748.79744500,51730.35750000,53305.77880500,7389.00000000,7590.03000000,7305.00000000,7527.47000000,48189.08794400,48189.08794400
2019-12-05,50948.48908500,53005.02750000,50632.72500000,52325.20350000,7194.59000000,7485.00000000,7150.00000000,7389.00000000,59306.67885500,59306.67885500
2019-12-04,51643.32586500,54881.62500000,50044.96050000,50946.57708000,7292.71000000,7750.00000000,7067.00000000,7194.32000000,83147.14914200,83147.14914200
2019-12-03,51655.43523000,52403.10000000,51279.62002500,51643.32586500,7294.42000000,7400.00000000,7241.35000000,7292.71000000,33149.47748700,33149.47748700
2019-12-02,52342.90725000,52548.69564000,50640.51465000,51654.44382000,7391.50000000,7420.56000000,7151.10000000,7294.28000000,46330.25604000,46330.25604000
2019-12-01,53398.97134500,53407.61077500,51057.61500000,52338.58753500,7540.63000000,7541.85000000,7210.00000000,7390.89000000,60769.34231300,60769.34231300
2019-11-30,54817.82068500,55306.51500000,52693.44150000,53407.89403500,7740.99000000,7810.00000000,7441.00000000,7541.89000000,46989.43361900,46989.43361900
2019-11-29,52534.24938000,55589.77500000,52136.12745000,54808.54392000,7418.52000000,7850.00000000,7362.30000000,7739.68000000,60745.30087300,60745.30087300
2019-11-28,53167.19385000,54123.90450000,52119.84000000,52541.11843500,7507.90000000,7643.00000000,7360.00000000,7419.49000000,56933.98110900,56933.98110900
2019-11-27,50666.36212500,54208.88250000,48437.46000000,53171.58438000,7154.75000000,7655.00000000,6840.00000000,7508.52000000,92452.87349000,92452.87349000
2019-11-26,50349.39418500,51978.21000000,49694.28462000,50676.20541000,7109.99000000,7340.00000000,7017.48000000,7156.14000000,65722.39769000,65722.39769000
2019-11-25,48863.97874500,52245.11173500,46135.97250000,50346.41995500,6900.23000000,7377.69000000,6515.00000000,7109.57000000,119645.73519700,119645.73519700
2019-11-24,51773.55465000,51910.15678500,48586.17150000,48885.57732000,7311.10000000,7330.39000000,6861.00000000,6903.28000000,67890.20648300,67890.20648300
2019-11-23,51469.97074500,52009.93512000,50137.09081500,51776.88295500,7268.23000000,7344.48000000,7080.01000000,7311.57000000,50449.89475500,50449.89475500
2019-11-22,54016.19488500,54881.62500000,48083.38500000,51469.97074500,7627.79000000,7750.00000000,6790.00000000,7268.23000000,126603.14025900,126603.14025900
2019-11-21,57349.95264000,57606.09049500,53111.25000000,54015.84081000,8098.56000000,8134.73000000,7500.00000000,7627.74000000,58418.78026100,58418.78026100
2019-11-20,57599.71714500,58523.56963500,56923.92960000,57346.05781500,8133.83000000,8264.29000000,8038.40000000,8098.01000000,32466.23098000,32466.23098000
2019-11-19,57972.69975000,58200.22834500,56673.24450000,57598.37166000,8186.50000000,8218.63000000,8003.00000000,8133.64000000,43556.06102500,43556.06102500
